customer_id,experiment_group,assign_date
1,B,2024-01-11
2,B,2024-01-13
3,A,2024-01-10
4,A,2024-01-13
5,A,2024-01-09
6,A,2024-01-15
7,B,2024-01-09
8,B,2024-01-03
9,B,2024-01-06
10,B,2024-01-09
11,B,2024-01-03
12,A,2024-01-07
13,B,2024-01-06
14,A,2024-01-05
15,A,2024-01-05
16,A,2024-01-12
17,A,2024-01-04
18,A,2024-01-16
19,A,2024-01-09
20,B,2024-01-11
21,B,2024-01-12
22,A,2024-01-11
23,B,2024-01-11
24,B,2024-01-13
25,B,2024-01-06
26,B,2024-01-14
27,A,2024-01-05
28,B,2024-01-09
29,A,2024-01-05
30,A,2024-01-15
31,A,2024-01-01
32,A,2024-01-02
33,A,2024-01-08
34,A,2024-01-06
35,B,2024-01-13
36,B,2024-01-15
37,A,2024-01-15
38,B,2024-01-04
39,A,2024-01-08
40,B,2024-01-15
41,B,2024-01-16
42,B,2024-01-12
43,A,2024-01-15
44,A,2024-01-11
45,B,2024-01-04
46,B,2024-01-12
47,B,2024-01-11
48,B,2024-01-13
49,A,2024-01-04
50,A,2024-01-03
51,B,2024-01-11
52,A,2024-01-13
53,B,2024-01-06
54,A,2024-01-05
55,A,2024-01-05
56,B,2024-01-01
57,B,2024-01-14
58,B,2024-01-14
59,A,2024-01-03
60,A,2024-01-16
61,A,2024-01-01
62,A,2024-01-08
63,B,2024-01-10
64,A,2024-01-08
65,B,2024-01-13
66,A,2024-01-03
67,A,2024-01-08
68,B,2024-01-16
69,A,2024-01-01
70,B,2024-01-12
71,A,2024-01-05
72,B,2024-01-16
73,A,2024-01-12
74,B,2024-01-09
75,A,2024-01-15
76,A,2024-01-11
77,B,2024-01-04
78,B,2024-01-06
79,B,2024-01-11
80,A,2024-01-07
81,B,2024-01-16
82,A,2024-01-01
83,A,2024-01-11
84,A,2024-01-06
85,A,2024-01-12
86,A,2024-01-02
87,A,2024-01-04
88,B,2024-01-12
89,A,2024-01-11
90,B,2024-01-10
91,A,2024-01-09
92,A,2024-01-05
93,B,2024-01-02
94,A,2024-01-06
95,A,2024-01-11
96,A,2024-01-09
97,A,2024-01-11
98,B,2024-01-07
99,B,2024-01-05
100,B,2024-01-01
101,B,2024-01-11
102,B,2024-01-08
103,B,2024-01-10
104,A,2024-01-07
105,B,2024-01-02
106,A,2024-01-08
107,B,2024-01-15
108,B,2024-01-14
109,A,2024-01-04
110,B,2024-01-06
111,B,2024-01-11
112,B,2024-01-11
113,A,2024-01-03
114,B,2024-01-07
115,A,2024-01-03
116,A,2024-01-14
117,A,2024-01-16
118,B,2024-01-03
119,B,2024-01-10
120,A,2024-01-12
121,A,2024-01-05
122,A,2024-01-05
123,B,2024-01-01
124,B,2024-01-03
125,B,2024-01-05
126,B,2024-01-04
127,B,2024-01-08
128,A,2024-01-03
129,A,2024-01-16
130,B,2024-01-14
131,B,2024-01-06
132,B,2024-01-15
133,A,2024-01-05
134,A,2024-01-04
135,B,2024-01-09
136,B,2024-01-04
137,B,2024-01-04
138,B,2024-01-06
139,A,2024-01-11
140,B,2024-01-01
141,B,2024-01-03
142,B,2024-01-14
143,B,2024-01-12
144,B,2024-01-01
145,A,2024-01-02
146,A,2024-01-03
147,B,2024-01-13
148,B,2024-01-16
149,A,2024-01-06
150,A,2024-01-06
151,A,2024-01-05
152,B,2024-01-07
153,A,2024-01-13
154,B,2024-01-05
155,A,2024-01-11
156,B,2024-01-10
157,B,2024-01-09
158,A,2024-01-12
159,B,2024-01-11
160,A,2024-01-10
161,B,2024-01-08
162,B,2024-01-16
163,B,2024-01-15
164,B,2024-01-03
165,B,2024-01-11
166,B,2024-01-07
167,A,2024-01-03
168,B,2024-01-02
169,B,2024-01-07
170,A,2024-01-06
171,A,2024-01-01
172,A,2024-01-14
173,A,2024-01-12
174,B,2024-01-12
175,A,2024-01-12
176,B,2024-01-11
177,B,2024-01-10
178,A,2024-01-13
179,B,2024-01-06
180,B,2024-01-01
181,A,2024-01-16
182,B,2024-01-08
183,A,2024-01-09
184,B,2024-01-12
185,B,2024-01-04
186,B,2024-01-05
187,B,2024-01-10
188,B,2024-01-10
189,B,2024-01-01
190,B,2024-01-15
191,B,2024-01-02
192,A,2024-01-03
193,B,2024-01-16
194,A,2024-01-08
195,B,2024-01-06
196,A,2024-01-04
197,A,2024-01-11
198,B,2024-01-16
199,A,2024-01-16
200,B,2024-01-16
201,A,2024-01-06
202,B,2024-01-07
203,B,2024-01-13
204,A,2024-01-13
205,A,2024-01-15
206,A,2024-01-15
207,B,2024-01-01
208,A,2024-01-08
209,B,2024-01-03
210,A,2024-01-10
211,B,2024-01-04
212,A,2024-01-06
213,A,2024-01-05
214,A,2024-01-11
215,B,2024-01-15
216,B,2024-01-01
217,B,2024-01-02
218,A,2024-01-16
219,B,2024-01-13
220,A,2024-01-09
221,A,2024-01-03
222,B,2024-01-16
223,A,2024-01-09
224,A,2024-01-02
225,B,2024-01-15
226,A,2024-01-05
227,A,2024-01-10
228,A,2024-01-07
229,A,2024-01-05
230,B,2024-01-07
231,A,2024-01-11
232,A,2024-01-06
233,A,2024-01-11
234,A,2024-01-10
235,B,2024-01-13
236,A,2024-01-13
237,A,2024-01-11
238,B,2024-01-09
239,B,2024-01-12
240,A,2024-01-05
241,B,2024-01-02
242,A,2024-01-09
243,A,2024-01-15
244,B,2024-01-12
245,A,2024-01-05
246,B,2024-01-04
247,A,2024-01-11
248,A,2024-01-12
249,B,2024-01-14
250,B,2024-01-07
251,B,2024-01-04
252,B,2024-01-08
253,A,2024-01-01
254,A,2024-01-01
255,B,2024-01-07
256,A,2024-01-08
257,B,2024-01-02
258,A,2024-01-10
259,B,2024-01-06
260,B,2024-01-05
261,B,2024-01-16
262,B,2024-01-15
263,B,2024-01-12
264,B,2024-01-10
265,A,2024-01-12
266,B,2024-01-02
267,B,2024-01-07
268,A,2024-01-05
269,B,2024-01-16
270,A,2024-01-16
271,B,2024-01-10
272,A,2024-01-11
273,A,2024-01-05
274,B,2024-01-08
275,A,2024-01-12
276,B,2024-01-15
277,A,2024-01-11
278,B,2024-01-11
279,A,2024-01-08
280,A,2024-01-15
281,A,2024-01-16
282,B,2024-01-12
283,A,2024-01-08
284,A,2024-01-13
285,B,2024-01-13
286,A,2024-01-02
287,A,2024-01-13
288,B,2024-01-10
289,A,2024-01-09
290,A,2024-01-05
291,A,2024-01-03
292,A,2024-01-07
293,B,2024-01-07
294,B,2024-01-04
295,A,2024-01-01
296,B,2024-01-10
297,B,2024-01-06
298,B,2024-01-16
299,B,2024-01-11
300,A,2024-01-02
301,A,2024-01-14
302,A,2024-01-10
303,B,2024-01-07
304,B,2024-01-05
305,A,2024-01-09
306,A,2024-01-01
307,A,2024-01-16
308,A,2024-01-01
309,A,2024-01-07
310,A,2024-01-09
311,B,2024-01-10
312,B,2024-01-08
313,B,2024-01-09
314,B,2024-01-06
315,B,2024-01-02
316,B,2024-01-09
317,B,2024-01-05
318,B,2024-01-07
319,B,2024-01-16
320,A,2024-01-01
321,B,2024-01-13
322,A,2024-01-16
323,A,2024-01-08
324,B,2024-01-02
325,B,2024-01-04
326,A,2024-01-08
327,B,2024-01-02
328,B,2024-01-16
329,A,2024-01-09
330,B,2024-01-14
331,B,2024-01-02
332,A,2024-01-12
333,A,2024-01-05
334,A,2024-01-15
335,B,2024-01-13
336,B,2024-01-08
337,A,2024-01-14
338,A,2024-01-04
339,B,2024-01-09
340,A,2024-01-06
341,B,2024-01-08
342,A,2024-01-13
343,B,2024-01-08
344,B,2024-01-06
345,B,2024-01-16
346,B,2024-01-10
347,A,2024-01-09
348,B,2024-01-13
349,A,2024-01-07
350,B,2024-01-03
351,A,2024-01-07
352,B,2024-01-04
353,A,2024-01-14
354,B,2024-01-09
355,A,2024-01-01
356,A,2024-01-08
357,B,2024-01-10
358,B,2024-01-10
359,B,2024-01-07
360,B,2024-01-03
361,A,2024-01-05
362,A,2024-01-13
363,A,2024-01-13
364,B,2024-01-03
365,A,2024-01-07
366,B,2024-01-06
367,B,2024-01-09
368,B,2024-01-02
369,B,2024-01-05
370,A,2024-01-06
371,B,2024-01-03
372,B,2024-01-09
373,A,2024-01-06
374,A,2024-01-06
375,B,2024-01-06
376,A,2024-01-12
377,B,2024-01-14
378,B,2024-01-01
379,A,2024-01-02
380,B,2024-01-03
381,B,2024-01-03
382,A,2024-01-02
383,A,2024-01-16
384,A,2024-01-14
385,A,2024-01-03
386,A,2024-01-02
387,A,2024-01-07
388,A,2024-01-12
389,A,2024-01-05
390,A,2024-01-05
391,A,2024-01-03
