customer_id,signup_date,acquisition_channel,city,segment
1,2022-11-29,partner,Taipei,growth
2,2024-11-11,organic,Tainan,growth
3,2025-08-17,social,Hsinchu,vip
4,2025-06-09,organic,Taipei,growth
5,2024-07-23,referral,Taichung,new
6,2024-11-27,partner,Taoyuan,vip
7,2024-07-29,organic,Taoyuan,new
8,2023-10-22,social,Taichung,new
9,2023-04-18,social,Kaohsiung,vip
10,2023-07-01,organic,Hsinchu,growth
11,2024-08-27,referral,Taichung,growth
12,2024-11-14,ads,Taipei,new
13,2024-04-06,partner,Taipei,growth
14,2023-08-14,ads,Hsinchu,new
15,2024-06-11,referral,Tainan,new
16,2023-04-15,ads,Kaohsiung,new
17,2023-09-12,referral,Taipei,growth
18,2023-02-27,ads,Taichung,growth
19,2024-07-29,ads,Taoyuan,vip
20,2023-08-26,ads,Kaohsiung,new
21,2024-09-21,referral,Kaohsiung,growth
22,2024-03-03,referral,Tainan,growth
23,2024-05-22,social,Kaohsiung,new
24,2024-09-11,partner,Taipei,new
25,2025-07-19,partner,Tainan,new
26,2025-05-07,partner,Hsinchu,growth
27,2025-01-17,social,Taipei,growth
28,2023-02-08,ads,Hsinchu,growth
29,2025-10-01,partner,Hsinchu,new
30,2023-04-05,ads,Hsinchu,new
31,2024-04-22,organic,Kaohsiung,new
32,2023-03-08,ads,Kaohsiung,new
33,2024-08-06,social,Taipei,new
34,2022-11-29,organic,Kaohsiung,growth
35,2024-07-04,partner,Kaohsiung,new
36,2023-07-18,social,Kaohsiung,new
37,2023-05-05,organic,Tainan,vip
38,2024-12-14,ads,Tainan,new
39,2022-12-09,partner,Hsinchu,growth
40,2024-03-12,organic,Tainan,new
41,2023-04-02,social,Kaohsiung,new
42,2023-11-04,ads,Taichung,vip
43,2024-08-12,referral,Tainan,new
44,2023-10-03,referral,Taichung,new
45,2025-03-10,ads,Taoyuan,new
46,2023-08-07,referral,Kaohsiung,new
47,2023-11-22,social,Kaohsiung,vip
48,2024-05-28,partner,Taichung,new
49,2025-11-24,referral,Tainan,new
50,2023-07-29,referral,Taoyuan,growth
51,2025-03-21,organic,Taichung,new
52,2023-05-10,ads,Taichung,new
53,2025-06-14,social,Taoyuan,vip
54,2024-12-05,partner,Taoyuan,growth
55,2025-03-24,partner,Tainan,new
56,2024-05-25,partner,Tainan,new
57,2024-03-01,partner,Taipei,new
58,2023-10-23,organic,Kaohsiung,new
59,2023-01-11,ads,Tainan,new
60,2023-12-06,organic,Hsinchu,new
61,2024-09-18,partner,Kaohsiung,new
62,2025-11-16,referral,Tainan,new
63,2023-02-07,partner,Hsinchu,new
64,2022-12-21,organic,Taipei,new
65,2025-03-25,organic,Tainan,vip
66,2024-01-09,social,Kaohsiung,vip
67,2025-10-13,referral,Tainan,vip
68,2025-02-26,ads,Taipei,new
69,2024-09-10,referral,Taichung,new
70,2023-08-16,social,Taichung,vip
71,2024-11-15,referral,Taichung,new
72,2023-10-17,partner,Taipei,growth
73,2025-05-01,referral,Tainan,growth
74,2025-08-14,partner,Taichung,new
75,2025-11-27,ads,Taichung,new
76,2025-07-13,social,Taipei,new
77,2024-07-05,ads,Tainan,vip
78,2023-06-07,referral,Taipei,new
79,2024-08-27,referral,Taipei,new
80,2025-08-03,ads,Taoyuan,growth
81,2024-04-14,organic,Hsinchu,new
82,2024-08-22,social,Kaohsiung,new
83,2023-04-10,partner,Hsinchu,new
84,2025-03-13,organic,Taipei,new
85,2023-07-08,organic,Kaohsiung,new
86,2023-11-17,ads,Hsinchu,new
87,2025-01-17,organic,Kaohsiung,new
88,2023-11-17,partner,Tainan,vip
89,2023-07-15,organic,Hsinchu,new
90,2023-08-18,ads,Hsinchu,growth
91,2025-09-17,ads,Taichung,new
92,2024-10-09,referral,Taipei,new
93,2025-10-25,referral,Hsinchu,growth
94,2025-08-26,ads,Taichung,new
95,2023-11-11,organic,Kaohsiung,new
96,2024-10-06,organic,Hsinchu,new
97,2025-04-30,referral,Taoyuan,growth
98,2023-06-02,referral,Kaohsiung,growth
99,2025-09-10,partner,Tainan,new
100,2023-05-15,organic,Taichung,vip
101,2025-08-29,partner,Hsinchu,new
102,2024-06-09,organic,Kaohsiung,growth
103,2024-09-28,referral,Hsinchu,vip
104,2023-12-12,social,Hsinchu,new
105,2025-08-07,organic,Tainan,new
106,2024-06-20,organic,Hsinchu,growth
107,2023-12-29,social,Taipei,growth
108,2023-07-22,ads,Taoyuan,new
109,2023-11-04,ads,Taichung,new
110,2024-02-25,ads,Taipei,vip
111,2025-08-01,organic,Hsinchu,growth
112,2023-08-16,ads,Kaohsiung,vip
113,2024-12-03,social,Tainan,new
114,2022-12-04,partner,Taoyuan,new
115,2025-03-03,referral,Kaohsiung,growth
116,2023-03-05,social,Kaohsiung,new
117,2024-09-19,organic,Kaohsiung,new
118,2023-10-18,partner,Taichung,new
119,2024-04-03,ads,Taoyuan,growth
120,2024-01-27,social,Tainan,growth
121,2024-08-28,ads,Kaohsiung,growth
122,2025-05-26,ads,Hsinchu,growth
123,2023-05-05,referral,Taipei,growth
124,2025-10-04,partner,Tainan,new
125,2023-07-14,partner,Taoyuan,growth
126,2023-04-06,social,Hsinchu,growth
127,2024-06-21,referral,Taichung,growth
128,2024-09-02,ads,Taoyuan,new
129,2025-10-16,partner,Kaohsiung,new
130,2025-11-28,partner,Taichung,growth
131,2024-02-27,partner,Taichung,growth
132,2025-05-20,ads,Taoyuan,new
133,2024-08-26,ads,Hsinchu,new
