order_id,product_id,quantity,unit_price,discount_rate
1,28,1,567,0.05
2,2,1,3850,0.05
2,18,1,778,0.1
3,19,1,2193,0
3,36,1,1580,0.15
4,58,1,1326,0.1
5,46,1,3785,0
5,4,1,2293,0
5,33,2,4175,0.15
6,2,1,3850,0.05
7,5,1,1760,0.1
7,37,1,667,0.05
8,39,1,2235,0
9,59,2,2290,0
9,2,1,3850,0
10,48,1,2972,0.1
10,22,1,1574,0.2
10,59,1,2290,0
10,31,1,3203,0
11,7,2,1985,0.05
11,60,1,552,0
12,23,1,2336,0.1
13,27,1,1579,0
13,9,1,4658,0
14,48,1,2972,0.1
14,5,1,1760,0.15
15,15,2,860,0.1
15,28,1,567,0.05
16,9,1,4658,0.05
17,6,1,529,0.05
17,13,1,3877,0.05
17,58,2,1326,0.15
18,11,1,1744,0
18,11,1,1744,0.15
19,15,1,860,0
20,42,1,3125,0.05
21,58,1,1326,0.05
22,31,1,3203,0.1
22,56,2,630,0
22,5,1,1760,0.05
22,22,1,1574,0
23,27,1,1579,0
24,21,1,2746,0.2
24,50,2,2033,0.1
25,35,1,1942,0.1
25,1,1,150,0.05
26,14,1,4075,0
26,17,1,2656,0.15
27,15,2,860,0
28,16,1,1002,0.05
28,39,2,2235,0
29,3,1,3713,0
29,53,1,1286,0.15
30,39,1,2235,0.05
31,30,1,4729,0
32,41,2,931,0
32,42,1,3125,0
33,37,1,667,0
33,36,1,1580,0
34,57,1,729,0.1
35,15,2,860,0.05
36,51,1,2916,0
36,47,1,1558,0
37,1,1,150,0.1
37,3,1,3713,0
37,4,1,2293,0.15
38,51,3,2916,0.2
39,34,1,2437,0
40,50,1,2033,0.1
41,5,1,1760,0
42,45,1,4975,0.05
43,46,1,3785,0.05
44,12,1,4627,0
44,4,1,2293,0
45,8,1,1791,0.1
46,11,1,1744,0
47,22,1,1574,0.2
47,43,1,4289,0.05
48,51,1,2916,0
48,8,1,1791,0.1
48,49,1,1048,0
49,22,1,1574,0.1
49,25,1,3410,0.15
49,58,1,1326,0.05
50,50,1,2033,0
50,2,1,3850,0.1
51,13,3,3877,0.05
51,8,2,1791,0.2
52,29,1,2320,0.05
53,55,1,4572,0.15
53,25,1,3410,0
53,23,1,2336,0
54,13,2,3877,0
55,58,1,1326,0
55,20,2,3438,0.2
56,44,1,724,0.1
57,16,1,1002,0
58,16,2,1002,0
59,35,1,1942,0.05
59,46,1,3785,0
60,20,1,3438,0.05
60,40,1,3255,0.1
60,7,1,1985,0.1
60,3,2,3713,0.15
61,23,2,2336,0.05
61,27,1,1579,0.15
62,26,2,4752,0
62,22,1,1574,0
62,30,1,4729,0.05
63,11,1,1744,0.1
63,41,1,931,0
63,13,1,3877,0
64,9,1,4658,0.2
65,31,2,3203,0
65,20,1,3438,0.15
65,7,1,1985,0.2
66,20,1,3438,0
66,10,1,3487,0.1
67,6,1,529,0.05
67,49,1,1048,0.05
67,41,1,931,0.05
67,12,1,4627,0
68,24,1,2262,0
68,29,1,2320,0.05
69,58,1,1326,0
69,11,1,1744,0
70,5,2,1760,0
70,10,1,3487,0
70,23,1,2336,0.1
71,49,1,1048,0
72,54,1,3026,0.05
73,56,1,630,0.15
74,15,2,860,0.1
74,51,1,2916,0
75,37,1,667,0.1
76,45,1,4975,0
77,42,1,3125,0.15
78,8,1,1791,0
78,19,1,2193,0
79,43,1,4289,0.1
79,39,3,2235,0.05
80,30,1,4729,0.2
80,40,1,3255,0.2
80,19,1,2193,0.15
81,21,1,2746,0.05
81,57,2,729,0.05
81,12,1,4627,0.05
82,47,1,1558,0.1
82,17,2,2656,0
82,36,1,1580,0.05
83,29,1,2320,0
84,8,1,1791,0
84,26,1,4752,0.05
85,16,2,1002,0.15
85,39,1,2235,0.1
86,52,1,1957,0.1
86,44,1,724,0
86,1,1,150,0
86,17,1,2656,0
87,2,2,3850,0.1
87,21,1,2746,0
88,28,1,567,0.05
89,18,1,778,0.1
89,57,1,729,0.1
90,37,1,667,0.1
90,19,2,2193,0.05
91,2,1,3850,0.1
91,51,1,2916,0.05
91,45,1,4975,0.1
91,25,1,3410,0.1
92,52,2,1957,0.1
92,34,1,2437,0.15
93,3,1,3713,0.1
93,9,2,4658,0
94,17,1,2656,0.15
94,11,1,1744,0.1
94,37,1,667,0
95,10,2,3487,0.15
95,44,1,724,0.05
95,54,2,3026,0
96,33,1,4175,0
96,20,1,3438,0.1
97,34,2,2437,0
97,2,1,3850,0
97,26,1,4752,0
97,9,1,4658,0
98,11,1,1744,0.05
98,22,1,1574,0.05
99,2,2,3850,0
100,52,1,1957,0
101,14,1,4075,0.15
101,10,1,3487,0.2
101,27,1,1579,0
102,48,1,2972,0
