order_id,customer_id,order_date,status,payment_type
1,2323,2025-05-02,completed,wallet
2,117,2024-07-14,completed,wallet
3,160,2025-03-29,cancelled,card
4,1240,2024-07-08,completed,atm
5,714,2024-08-12,completed,atm
6,2005,2025-01-14,completed,card
7,2379,2024-11-25,completed,card
8,671,2024-04-22,completed,atm
9,1462,2024-11-24,completed,card
10,211,2024-04-04,completed,atm
11,2091,2025-09-01,completed,atm
12,1710,2025-02-15,completed,card
13,2365,2024-03-25,completed,atm
14,1135,2025-05-19,completed,card
15,2205,2024-05-20,completed,card
16,2170,2025-08-30,completed,cod
17,143,2024-01-08,completed,card
18,1133,2024-06-22,completed,card
19,774,2024-01-13,completed,wallet
20,2419,2025-10-21,completed,card
21,33,2024-07-31,completed,atm
22,2448,2024-09-13,completed,card
23,242,2024-03-06,completed,card
24,1096,2025-11-24,completed,wallet
25,1465,2025-10-22,completed,atm
26,437,2024-06-17,completed,cod
27,1108,2024-02-15,completed,wallet
28,381,2025-09-28,completed,wallet
29,2018,2024-07-06,completed,atm
30,2292,2024-11-21,completed,wallet
31,1206,2024-04-27,completed,card
32,2101,2024-06-02,completed,card
33,1946,2024-08-25,completed,cod
34,600,2025-08-15,completed,card
35,2291,2025-07-02,completed,card
36,2254,2024-10-02,completed,card
37,2199,2025-12-21,completed,card
38,2340,2025-10-26,completed,atm
39,1267,2025-02-11,completed,atm
40,1601,2025-12-10,completed,card
41,364,2025-09-14,refunded,atm
42,1752,2025-10-12,completed,card
43,305,2025-12-29,completed,card
44,1147,2024-04-27,completed,card
45,2134,2024-08-29,completed,atm
46,297,2025-06-15,completed,card
47,649,2024-03-31,completed,atm
48,2417,2025-07-18,completed,card
49,1921,2024-03-13,completed,cod
50,2304,2025-02-23,completed,atm
51,1319,2024-09-20,completed,card
52,1122,2024-07-08,completed,card
53,1457,2025-03-07,completed,card
54,1355,2024-06-01,completed,card
55,1355,2024-03-10,completed,card
56,1240,2025-04-27,completed,wallet
57,2432,2025-06-22,completed,card
58,1817,2025-01-01,completed,wallet
59,45,2024-09-05,completed,card
60,1011,2025-10-28,completed,atm
61,1622,2025-09-20,completed,atm
62,2031,2025-11-04,completed,wallet
63,78,2025-12-08,completed,cod
64,2350,2025-03-30,completed,card
65,2294,2024-08-25,completed,atm
66,2195,2025-01-26,completed,card
67,1959,2024-09-22,completed,card
68,272,2024-01-29,completed,card
69,2385,2025-10-23,completed,atm
70,398,2024-05-07,completed,cod
71,769,2024-07-12,completed,cod
72,1410,2025-08-17,completed,card
73,884,2025-08-23,completed,card
74,866,2024-04-10,completed,cod
75,2033,2025-01-10,completed,cod
76,1231,2025-07-24,completed,card
77,838,2025-10-29,completed,wallet
78,396,2025-11-04,completed,wallet
79,1400,2024-07-27,completed,card
80,2233,2025-02-11,completed,cod
81,1296,2024-01-02,completed,atm
82,25,2024-01-28,completed,card
83,1802,2024-05-04,completed,card
84,300,2025-08-29,completed,atm
85,530,2025-05-03,completed,card
86,284,2024-06-06,completed,wallet
87,2380,2025-05-22,completed,wallet
88,2229,2025-02-14,completed,atm
89,559,2025-07-10,completed,card
90,51,2024-08-15,completed,card
91,2137,2025-07-15,completed,wallet
92,1646,2024-10-03,completed,atm
93,526,2024-11-20,completed,wallet
94,1164,2024-02-21,completed,atm
95,1609,2025-07-30,completed,atm
96,901,2025-07-29,completed,atm
97,2183,2024-07-23,completed,cod
98,182,2024-12-17,completed,atm
99,1440,2025-06-29,completed,cod
100,1278,2025-08-05,completed,atm
101,854,2024-10-23,completed,card
102,937,2025-02-25,completed,cod
103,1310,2024-12-15,completed,atm
104,160,2024-02-25,completed,card
105,975,2025-02-03,completed,card
106,2496,2025-01-03,completed,card
107,2135,2024-01-14,completed,wallet
108,652,2025-09-13,completed,cod
109,2355,2025-08-03,completed,atm
110,1187,2025-03-09,completed,card
111,2328,2024-09-06,completed,card
112,2135,2025-09-02,completed,cod
113,266,2024-04-19,completed,atm
114,1709,2025-07-02,completed,card
115,2010,2024-06-11,completed,card
116,2276,2024-05-16,completed,card
117,1415,2024-06-11,completed,wallet
118,1599,2024-08-21,completed,atm
119,1907,2024-09-10,completed,cod
120,336,2024-04-30,completed,card
121,1259,2025-03-10,completed,card
122,2090,2024-08-31,completed,card
123,1437,2025-06-25,completed,atm
124,1694,2025-02-11,completed,atm
125,1797,2025-02-26,completed,wallet
126,833,2025-08-19,completed,card
127,2243,2024-08-14,completed,card
128,2227,2024-08-22,completed,card
129,92,2025-02-25,completed,card
130,1390,2024-02-27,completed,wallet
131,1909,2024-08-12,completed,card
132,294,2024-10-19,completed,cod
133,2166,2025-02-09,completed,card
134,2140,2024-12-14,refunded,wallet
135,1655,2025-12-06,completed,card
136,1601,2025-06-27,completed,card
137,975,2024-02-27,completed,card
138,361,2025-08-11,completed,atm
139,728,2024-11-07,refunded,wallet
140,2079,2024-06-30,completed,card
141,107,2024-08-17,completed,card
142,2011,2025-09-02,completed,atm
143,300,2024-01-08,completed,wallet
144,695,2024-09-13,completed,atm
145,481,2025-01-09,completed,atm
146,1919,2025-01-15,completed,atm
147,2203,2024-01-17,completed,atm
148,1938,2025-11-09,completed,wallet
149,2145,2025-04-03,completed,card
150,1153,2025-11-08,cancelled,atm
151,611,2024-09-20,completed,card
152,602,2025-09-26,completed,atm
153,126,2025-04-15,refunded,card
154,1599,2025-12-19,completed,atm
155,1889,2025-11-16,completed,wallet
156,1048,2025-08-10,completed,atm
157,2119,2024-07-30,completed,wallet
158,2077,2025-01-11,completed,wallet
159,148,2025-06-09,completed,card
160,2235,2025-03-30,cancelled,card
161,2352,2024-11-29,completed,card
162,336,2024-10-22,completed,card
163,2061,2024-02-13,completed,wallet
164,204,2024-02-24,completed,atm
165,1931,2024-04-02,completed,atm
166,675,2024-07-13,completed,card
167,643,2025-06-02,completed,card
168,1722,2024-02-08,completed,card
169,662,2025-12-15,completed,wallet
170,1954,2024-11-15,completed,card
171,1756,2024-06-12,completed,wallet
172,1667,2025-05-16,completed,atm
173,463,2025-01-12,completed,card
174,776,2025-03-04,completed,wallet
175,1208,2024-06-13,completed,wallet
176,236,2024-11-08,completed,atm
177,1371,2024-06-23,completed,atm
178,943,2025-01-12,completed,wallet
179,909,2024-06-06,completed,card
180,2267,2025-04-24,completed,atm
181,1469,2025-11-20,completed,atm
182,1883,2024-01-25,completed,card
183,1377,2025-12-22,completed,atm
184,1964,2025-10-22,completed,wallet
185,503,2025-03-06,completed,atm
186,1824,2024-10-01,completed,card
187,857,2024-12-02,completed,card
188,701,2025-02-07,completed,card
189,513,2024-10-03,completed,atm
190,102,2025-01-08,completed,card
191,2316,2025-12-12,completed,atm
192,1110,2025-07-06,completed,card
193,2062,2025-04-13,completed,card
194,1802,2025-01-09,completed,card
195,39,2024-11-08,completed,card
196,1968,2025-10-04,completed,card
197,628,2024-03-09,completed,wallet
198,1078,2024-10-29,completed,card
199,1291,2024-04-19,completed,card
200,1516,2025-08-17,completed,atm
201,842,2024-09-26,completed,atm
202,1185,2025-08-06,completed,atm
203,751,2024-05-07,completed,cod
204,1463,2024-10-09,completed,card
205,372,2025-07-12,cancelled,wallet
206,2429,2025-04-05,completed,card
207,1720,2024-01-15,completed,card
208,525,2025-07-06,completed,wallet
209,1184,2025-12-20,completed,wallet
210,1961,2024-02-28,completed,atm
211,2408,2024-06-24,completed,card
212,277,2024-04-25,refunded,wallet
213,329,2024-03-07,completed,atm
214,1154,2025-05-03,completed,card
215,1759,2025-11-24,completed,card
216,1929,2024-03-15,completed,card
217,1081,2024-09-06,completed,card
218,1109,2025-02-21,completed,atm
219,395,2025-10-04,completed,card
220,1876,2025-11-26,completed,card
221,1086,2025-02-26,completed,card
222,1787,2024-07-29,completed,wallet
223,1468,2024-12-26,completed,atm
224,1211,2025-03-26,completed,cod
225,968,2025-08-25,completed,atm
226,2343,2025-01-02,completed,wallet
227,1330,2025-04-12,completed,cod
228,403,2025-07-31,completed,atm
229,2267,2025-09-04,completed,wallet
230,104,2024-11-18,completed,atm
231,586,2025-04-24,completed,atm
232,763,2025-11-03,completed,card
233,708,2025-01-22,completed,atm
234,2180,2024-06-29,completed,atm
235,913,2025-10-14,completed,atm
236,375,2025-04-19,completed,atm
237,756,2024-10-26,completed,cod
238,1817,2024-05-01,completed,atm
239,2290,2024-04-19,completed,atm
240,567,2024-06-09,completed,atm
241,1493,2024-12-21,cancelled,card
242,2422,2024-05-03,completed,atm
243,2486,2025-08-08,completed,card
244,2147,2024-01-01,completed,card
245,525,2025-05-13,completed,card
246,291,2025-11-12,completed,atm
247,483,2024-07-09,completed,atm
248,775,2025-08-26,completed,wallet
249,1135,2024-06-07,completed,atm
250,2496,2024-03-04,completed,card
251,1028,2025-08-02,completed,card
252,965,2025-09-14,completed,wallet
253,1126,2025-12-24,completed,cod
254,703,2024-04-05,completed,card
255,45,2024-10-20,completed,cod
256,397,2024-08-18,cancelled,card
257,524,2024-05-21,cancelled,wallet
258,2271,2025-06-17,completed,card
259,853,2024-08-17,completed,atm
260,1607,2024-08-28,completed,wallet
261,1433,2024-09-22,completed,cod
262,1432,2025-06-11,completed,card
263,1857,2025-01-13,completed,card
264,286,2024-11-09,completed,card
265,1306,2025-05-23,completed,wallet
266,1801,2025-07-12,completed,atm
267,163,2025-09-02,refunded,atm
268,993,2025-08-21,cancelled,atm
269,2285,2024-06-18,cancelled,atm
270,543,2024-06-15,completed,atm
271,322,2025-12-13,completed,card
272,22,2025-08-09,completed,card
273,1553,2025-09-25,completed,card
274,441,2024-10-31,completed,card
275,358,2025-07-24,completed,cod
276,1474,2024-03-05,completed,atm
277,680,2024-02-17,cancelled,cod
278,1201,2024-07-28,completed,card
279,2055,2024-08-18,completed,card
280,570,2024-12-28,completed,card
281,277,2024-06-08,completed,atm
282,1869,2024-05-26,completed,card
283,787,2024-04-09,completed,wallet
284,1239,2025-09-15,completed,card
285,1466,2025-07-03,completed,atm
286,727,2025-09-02,cancelled,card
287,2025,2024-03-31,completed,atm
288,586,2024-11-06,completed,atm
289,721,2025-07-02,completed,card
290,677,2025-11-06,completed,card
291,987,2024-07-13,completed,cod
292,2247,2025-07-29,completed,atm
293,1972,2025-08-06,completed,wallet
294,1801,2025-06-20,refunded,atm
295,2193,2024-08-29,completed,cod
296,637,2025-10-07,completed,wallet
297,1142,2025-12-18,completed,card
298,632,2024-11-19,cancelled,wallet
299,39,2025-01-03,completed,card
300,2412,2024-04-19,completed,card
301,1374,2025-02-14,completed,card
302,983,2025-08-26,completed,wallet
303,44,2025-09-18,completed,wallet
304,881,2025-01-23,completed,atm
305,2478,2025-05-15,completed,card
306,765,2024-08-23,completed,card
307,1885,2025-06-23,completed,card
308,297,2025-03-24,completed,card
309,28,2024-12-10,completed,atm
310,1767,2024-10-01,completed,card
311,1381,2025-02-16,completed,card
312,945,2024-03-11,completed,atm
313,944,2024-10-06,completed,cod
314,1161,2025-06-15,completed,card
315,761,2024-09-24,completed,cod
316,1961,2024-08-23,completed,atm
317,817,2024-03-17,completed,wallet
318,1724,2024-05-16,completed,card
319,1523,2025-04-14,completed,atm
320,1940,2025-03-12,refunded,atm
321,1239,2025-12-22,refunded,atm
322,711,2025-02-16,completed,card
323,2109,2024-02-03,completed,atm
324,2268,2025-09-13,completed,wallet
325,1863,2024-08-20,completed,atm
326,920,2025-01-19,completed,atm
327,2395,2025-12-16,completed,atm
328,87,2025-03-14,completed,atm
329,74,2024-03-05,completed,atm
330,1692,2024-02-01,completed,wallet
331,601,2025-04-01,completed,card
332,2398,2024-11-13,completed,atm
333,1756,2024-02-17,cancelled,wallet
334,1278,2024-12-25,completed,atm
335,1515,2024-01-05,completed,card
336,1635,2024-12-19,completed,card
337,502,2025-02-21,completed,atm
338,2351,2024-10-27,completed,wallet
339,1855,2025-12-19,completed,wallet
340,1882,2024-03-01,completed,card
341,53,2025-04-21,completed,card
342,1987,2025-09-04,completed,card
343,804,2025-06-26,completed,card
344,2453,2025-08-14,completed,card
345,1089,2025-11-06,completed,atm
346,2051,2024-09-16,completed,wallet
347,567,2024-01-13,completed,card
348,136,2025-06-27,completed,wallet
349,252,2025-08-03,completed,cod
350,327,2024-01-18,completed,atm
351,844,2025-11-19,completed,card
352,832,2024-04-24,completed,cod
353,137,2025-10-19,completed,atm
354,676,2024-01-10,completed,card
355,403,2024-04-06,completed,card
356,696,2025-02-13,completed,atm
357,1685,2024-05-18,completed,card
358,808,2025-02-21,completed,card
359,2310,2024-01-02,completed,card
360,1863,2024-04-05,completed,card
361,1681,2025-08-22,completed,wallet
362,298,2024-11-02,completed,atm
363,61,2025-03-27,completed,card
364,133,2024-09-13,completed,wallet
365,51,2024-05-23,completed,cod
366,772,2025-12-26,completed,card
367,762,2025-08-26,completed,atm
368,1174,2025-04-01,completed,wallet
369,627,2025-08-30,completed,card
370,2472,2025-11-26,completed,card
371,791,2024-09-20,completed,atm
372,1111,2024-11-26,completed,card
373,2232,2025-08-22,completed,wallet
374,546,2024-09-24,completed,card
375,2253,2024-03-31,completed,atm
376,750,2024-03-25,completed,card
377,2136,2025-06-05,completed,atm
378,1759,2025-05-21,completed,card
379,2324,2025-07-30,completed,card
380,240,2024-12-10,completed,card
381,2130,2024-10-15,completed,card
382,2078,2024-07-08,completed,card
383,23,2024-06-12,completed,cod
384,1845,2024-12-27,completed,atm
385,1769,2024-01-24,completed,atm
386,1729,2025-08-16,completed,wallet
387,1774,2024-02-19,completed,atm
388,1863,2025-07-31,completed,atm
389,936,2024-11-14,completed,wallet
390,1074,2025-08-30,completed,atm
391,824,2024-06-23,completed,card
392,540,2024-11-03,completed,atm
393,1978,2025-01-24,completed,card
394,1326,2024-05-28,completed,cod
395,870,2025-09-25,completed,cod
396,1232,2024-03-01,completed,wallet
397,692,2024-02-09,completed,atm
398,2245,2024-05-10,completed,card
399,358,2025-09-10,cancelled,atm
400,791,2025-09-19,completed,card
401,1774,2024-07-23,completed,cod
402,1550,2024-02-06,completed,atm
403,456,2024-07-26,completed,atm
404,1288,2025-04-23,completed,cod
405,1727,2024-05-24,completed,card
406,1066,2025-02-03,completed,card
407,787,2025-11-20,cancelled,atm
408,2434,2024-01-26,completed,atm
409,208,2025-04-24,completed,card
410,2316,2025-07-13,completed,wallet
411,624,2025-03-30,completed,card
412,1727,2024-01-10,completed,card
413,422,2025-02-10,completed,atm
414,730,2025-02-16,completed,cod
415,1173,2024-06-05,completed,wallet
416,2326,2025-06-25,completed,wallet
417,1921,2024-09-30,completed,card
418,1993,2025-10-15,completed,card
419,2474,2025-08-30,completed,card
420,1689,2024-01-19,completed,card
421,1639,2025-11-17,completed,card
422,2137,2025-03-23,completed,card
423,1334,2025-04-22,completed,atm
424,182,2025-09-19,completed,wallet
425,776,2025-03-12,completed,card
426,247,2025-10-05,completed,atm
427,2331,2024-02-29,completed,wallet
428,725,2025-04-01,completed,card
429,564,2025-05-26,completed,wallet
430,1906,2025-06-10,completed,card
431,884,2024-12-09,completed,card
432,811,2024-01-28,refunded,card
433,530,2024-02-02,completed,wallet
434,1398,2024-03-03,completed,cod
435,1656,2025-06-21,completed,card
436,799,2025-12-28,completed,cod
437,1674,2024-06-05,completed,cod
438,2307,2024-09-24,completed,card
439,1931,2025-06-09,completed,atm
440,625,2025-12-23,completed,card
441,2410,2025-05-18,completed,card
442,704,2024-12-15,completed,cod
443,2150,2024-10-18,completed,atm
444,2075,2024-08-18,completed,atm
445,46,2024-04-19,cancelled,atm
446,794,2025-04-18,completed,card
447,905,2025-06-13,completed,card
448,386,2024-06-05,completed,card
449,2097,2024-05-09,completed,atm
450,1864,2025-05-13,completed,wallet
451,1790,2024-07-10,completed,wallet
452,1442,2025-12-02,completed,cod
453,263,2025-11-17,completed,atm
454,704,2024-08-26,completed,cod
455,1369,2025-03-15,completed,wallet
456,2044,2024-07-28,completed,card
457,816,2024-08-22,completed,card
458,1366,2025-04-04,completed,card
459,1529,2024-10-07,completed,card
460,1314,2024-06-19,completed,cod
461,397,2025-01-30,completed,wallet
462,2487,2024-11-02,completed,atm
463,2218,2024-12-04,completed,atm
464,178,2024-10-08,completed,wallet
465,1562,2024-04-20,completed,atm
466,2098,2025-12-12,completed,wallet
467,910,2024-01-12,completed,card
468,2089,2024-05-24,completed,card
469,1472,2024-06-18,completed,wallet
470,100,2024-07-26,completed,wallet
471,1169,2025-01-27,completed,atm
472,343,2025-11-29,completed,cod
473,688,2025-12-01,completed,wallet
474,1056,2024-06-22,completed,card
475,1980,2025-07-09,completed,card
476,2027,2025-12-25,cancelled,card
477,186,2024-04-11,completed,card
478,2213,2025-11-18,completed,card
479,1980,2024-05-31,completed,card
480,1245,2024-03-09,completed,cod
481,1197,2025-07-20,completed,atm
482,1155,2025-02-27,completed,card
483,1671,2024-10-12,completed,atm
484,1861,2024-10-30,completed,card
485,2008,2025-08-07,completed,atm
486,884,2024-06-18,cancelled,card
487,1671,2024-09-06,completed,card
488,536,2024-05-23,completed,card
489,919,2025-06-11,completed,card
490,977,2025-08-28,completed,card
491,495,2025-09-16,completed,atm
492,1605,2024-05-17,completed,card
493,2310,2025-11-21,completed,atm
494,1853,2024-11-29,completed,card
495,442,2024-05-27,completed,wallet
496,744,2024-03-30,refunded,atm
497,1404,2025-05-23,completed,card
498,944,2024-05-03,completed,card
499,1709,2024-10-27,completed,card
500,433,2024-06-21,completed,atm
501,58,2025-06-23,completed,card
502,2445,2025-06-13,completed,card
503,1384,2024-06-28,completed,card
504,1843,2024-09-20,refunded,card
505,2383,2025-04-03,completed,cod
506,1102,2024-07-28,completed,card
507,1386,2024-06-13,refunded,card
508,1182,2025-09-08,completed,wallet
509,1609,2025-01-23,completed,card
510,167,2024-05-04,cancelled,atm
511,2364,2024-11-18,completed,wallet
512,125,2024-11-21,completed,atm
513,2369,2024-02-01,completed,atm
514,1839,2024-09-18,completed,card
515,1206,2024-11-26,completed,card
516,2167,2024-05-21,completed,cod
517,2180,2025-09-07,completed,atm
518,2138,2025-01-17,completed,atm
519,1249,2025-03-18,completed,atm
520,582,2024-06-24,completed,atm
521,2358,2025-11-25,completed,atm
522,1394,2025-09-25,refunded,card
523,779,2024-05-16,completed,card
524,698,2024-01-24,cancelled,cod
525,796,2025-08-19,completed,card
526,1161,2025-12-14,completed,card
527,1157,2024-03-22,completed,atm
528,2380,2025-01-13,completed,atm
529,2121,2025-02-13,completed,card
530,199,2024-05-15,completed,card
531,1841,2025-04-14,completed,atm
532,1027,2024-03-24,completed,cod
533,547,2025-04-09,completed,card
534,320,2025-11-14,completed,cod
535,1492,2025-05-30,completed,atm
536,1158,2024-06-29,completed,card
537,1562,2024-06-13,completed,wallet
538,1347,2024-05-13,cancelled,card
539,117,2024-06-24,completed,atm
540,1344,2024-06-08,completed,card
541,2071,2025-02-22,completed,atm
542,1234,2025-09-11,completed,card
543,548,2024-12-23,completed,atm
544,1586,2024-07-10,completed,cod
545,620,2025-05-02,completed,cod
546,2204,2025-03-09,completed,atm
547,783,2024-07-08,completed,card
548,2001,2025-07-14,completed,atm
549,1583,2024-05-14,completed,card
550,1846,2024-07-13,completed,card
551,1035,2024-07-29,completed,card
552,1515,2025-05-15,cancelled,card
553,1091,2024-08-12,completed,card
554,734,2025-02-03,completed,atm
555,1818,2024-05-01,completed,wallet
556,2482,2024-02-12,completed,atm
557,91,2025-11-23,completed,card
558,2365,2024-03-20,completed,card
559,1498,2024-02-06,completed,card
560,1518,2024-08-21,completed,card
561,1513,2025-08-09,completed,card
562,1304,2025-02-22,completed,card
563,1414,2024-01-19,completed,atm
564,2348,2025-04-04,completed,atm
565,1635,2024-07-21,completed,wallet
566,304,2025-04-04,completed,card
567,943,2024-02-20,completed,cod
568,2339,2024-09-01,completed,atm
569,2056,2024-11-22,completed,card
570,2233,2024-08-02,completed,atm
571,410,2025-03-06,completed,atm
572,493,2024-06-19,completed,card
573,2345,2025-04-26,completed,wallet
574,1725,2024-03-07,completed,card
575,1230,2025-07-24,refunded,cod
576,55,2024-03-23,cancelled,card
577,2311,2024-10-28,completed,card
578,1825,2025-12-22,cancelled,card
579,325,2024-11-01,completed,card
580,2408,2025-10-05,completed,wallet
581,999,2025-12-22,cancelled,card
582,1521,2025-06-22,completed,wallet
583,294,2024-10-17,completed,atm
584,1813,2024-12-22,completed,wallet
585,1068,2025-12-07,completed,card
586,2466,2024-07-18,completed,card
587,2000,2025-05-21,completed,card
588,1472,2025-01-12,completed,cod
589,1614,2024-08-16,completed,card
590,402,2025-10-10,completed,card
591,892,2024-09-16,completed,card
592,1626,2025-10-01,cancelled,card
593,1208,2024-06-11,completed,cod
594,2306,2024-04-26,completed,card
595,188,2024-07-09,completed,card
596,890,2024-06-03,completed,atm
597,2150,2024-02-27,completed,card
598,1345,2025-09-08,completed,wallet
599,2232,2025-08-29,completed,card
600,887,2025-05-05,cancelled,card
601,2265,2024-06-21,completed,card
602,547,2025-03-06,completed,card
603,32,2024-11-23,completed,atm
604,2025,2024-05-13,completed,cod
605,1414,2025-01-06,completed,wallet
606,1521,2025-11-06,completed,atm
607,107,2025-05-21,completed,wallet
608,1551,2025-06-27,completed,atm
609,579,2025-04-23,completed,card
610,2297,2024-02-24,completed,atm
611,2263,2024-03-10,completed,card
612,1069,2025-06-14,completed,card
613,1652,2024-06-11,completed,card
614,1632,2025-01-16,completed,card
615,1696,2024-08-12,cancelled,card
616,581,2024-07-26,completed,cod
617,1438,2024-10-27,completed,wallet
618,1940,2025-12-17,cancelled,wallet
619,1573,2025-11-19,completed,wallet
620,1269,2025-04-02,completed,wallet
621,1356,2025-04-26,completed,card
622,1740,2025-06-06,completed,card
623,286,2024-03-28,completed,cod
624,444,2025-08-30,completed,card
625,1868,2025-09-10,completed,card
626,2222,2025-05-12,completed,atm
627,1380,2024-09-13,completed,card
628,2021,2024-12-06,completed,wallet
629,1119,2025-07-05,completed,card
630,2409,2024-11-23,completed,atm
631,330,2024-03-15,completed,cod
632,22,2025-08-28,cancelled,card
633,1338,2024-02-03,completed,cod
634,2348,2025-09-22,completed,wallet
635,1515,2025-04-27,completed,card
636,2264,2025-12-01,completed,card
637,2425,2025-06-08,completed,wallet
638,1297,2024-01-31,completed,card
639,195,2025-03-22,completed,cod
640,826,2024-08-07,completed,cod
641,338,2024-06-15,completed,card
642,1403,2025-02-12,completed,card
643,410,2024-08-10,completed,card
644,440,2024-04-23,completed,card
645,2121,2024-11-04,completed,card
646,1346,2025-09-22,completed,card
647,1939,2024-08-01,completed,atm
648,232,2024-08-31,completed,cod
649,1497,2025-04-17,completed,atm
650,2346,2024-05-14,completed,atm
651,1906,2025-08-06,completed,card
652,1408,2025-09-25,completed,card
653,1713,2025-06-20,completed,card
654,2202,2024-09-13,cancelled,card
655,106,2025-02-14,completed,card
656,2036,2025-05-30,completed,cod
657,327,2024-03-23,completed,card
658,142,2024-03-09,completed,card
659,858,2025-01-26,completed,atm
660,407,2024-01-16,completed,card
661,721,2024-12-31,completed,card
662,194,2025-08-19,completed,atm
663,1809,2025-06-07,completed,card
664,1369,2025-09-17,completed,atm
665,2086,2024-10-14,refunded,cod
666,1950,2025-04-04,refunded,card
667,704,2025-02-27,completed,card
668,705,2024-11-23,completed,card
669,379,2025-07-10,completed,card
670,363,2024-01-03,completed,cod
671,979,2025-02-08,completed,card
672,108,2025-11-22,cancelled,card
673,2027,2025-02-06,completed,card
674,728,2024-05-27,cancelled,wallet
675,1915,2025-08-28,completed,atm
676,1136,2024-08-14,completed,atm
677,1445,2025-10-27,completed,card
678,1840,2024-06-02,completed,card
679,2494,2025-11-24,completed,card
680,2126,2025-07-28,completed,card
681,2129,2025-08-12,completed,wallet
682,1756,2024-11-30,completed,atm
683,873,2025-07-14,completed,wallet
684,161,2025-10-14,completed,wallet
685,73,2024-01-27,completed,card
686,726,2024-02-16,completed,atm
687,248,2025-09-04,completed,atm
688,2088,2024-11-19,completed,atm
689,988,2025-03-30,completed,card
690,1442,2024-08-29,completed,atm
691,141,2025-10-25,completed,card
692,221,2025-06-10,completed,card
693,934,2025-08-13,completed,wallet
694,1377,2024-03-04,completed,card
695,392,2025-01-02,completed,card
696,1739,2025-11-22,completed,atm
697,388,2024-02-26,completed,card
698,881,2024-06-30,completed,card
699,1767,2024-03-14,completed,card
700,1848,2024-03-27,completed,cod
701,1336,2025-11-07,completed,card
702,1634,2024-09-07,completed,card
703,447,2024-03-12,completed,atm
704,1285,2024-01-21,completed,atm
705,2165,2024-10-16,completed,atm
706,367,2025-07-06,completed,atm
707,556,2024-03-21,completed,atm
708,2298,2024-03-07,completed,card
709,1471,2024-04-07,completed,card
710,854,2024-05-31,completed,atm
711,764,2024-03-26,completed,atm
712,582,2024-01-31,completed,atm
713,749,2025-06-05,completed,card
714,1947,2025-04-07,refunded,atm
715,134,2025-09-26,completed,wallet
716,1552,2025-09-06,completed,cod
717,1763,2024-04-17,completed,atm
718,1005,2025-01-20,completed,wallet
719,1472,2025-01-01,completed,atm
720,402,2025-07-16,completed,card
721,806,2024-04-18,completed,atm
722,2405,2024-09-15,completed,card
723,1206,2025-11-29,completed,card
724,205,2024-02-21,completed,card
725,2166,2024-11-12,completed,cod
726,2102,2024-09-12,completed,card
727,920,2024-03-23,completed,card
728,1592,2025-11-24,completed,wallet
729,655,2025-08-28,completed,atm
730,911,2024-02-08,completed,card
731,1487,2025-08-10,completed,card
732,1280,2024-06-07,completed,cod
733,1414,2024-12-09,completed,card
734,109,2025-05-30,completed,card
735,2443,2025-05-28,completed,card
736,2213,2024-04-15,completed,cod
