session_id,customer_id,session_start,device,traffic_source,campaign,experiment_group
1,2473,2025-08-14T11:02,desktop,sem,none,B
2,2155,2024-02-29T11:56,mobile,sem,retarget,A
3,2437,2024-11-13T16:23,mobile,sem,none,B
4,164,2024-04-22T16:15,mobile,email,retarget,B
5,1604,2024-06-15T08:39,desktop,direct,none,A
6,2025,2025-01-03T12:09,mobile,seo,new_user,B
7,1680,2025-02-01T20:56,mobile,seo,retarget,B
8,1663,2025-08-17T05:38,mobile,email,spring_sale,A
9,684,2025-03-10T13:30,mobile,seo,none,B
10,2418,2025-09-17T03:22,desktop,direct,none,B
11,2146,2025-10-23T23:37,desktop,social,none,A
12,2398,2025-02-09T10:36,desktop,email,none,A
13,181,2024-10-22T11:39,mobile,direct,none,A
14,2244,2025-11-06T17:11,mobile,seo,none,A
15,2369,2024-05-30T00:34,desktop,email,none,B
16,1524,2024-08-04T03:54,mobile,sem,none,A
17,2004,2025-04-14T05:27,mobile,email,none,B
18,1811,2024-10-23T07:58,desktop,direct,retarget,B
19,1685,2024-04-20T12:42,desktop,email,none,A
20,888,2025-03-22T07:43,mobile,direct,none,B
21,2104,2025-09-06T10:47,desktop,direct,none,B
22,1537,2024-12-08T16:32,desktop,social,none,A
23,494,2025-02-06T06:49,mobile,social,new_user,B
24,986,2024-05-21T19:20,mobile,direct,retarget,A
25,2448,2024-03-06T07:01,tablet,sem,none,B
26,640,2024-05-28T17:39,mobile,email,none,B
27,1828,2025-07-01T13:47,mobile,social,none,B
28,1293,2025-07-24T22:00,mobile,social,none,A
29,935,2024-06-12T15:36,desktop,seo,spring_sale,A
30,1526,2025-10-14T06:47,mobile,direct,none,A
31,2434,2024-01-28T21:42,mobile,seo,none,B
32,1075,2025-01-14T06:06,mobile,sem,retarget,B
33,1705,2025-07-16T05:35,mobile,email,none,A
34,1808,2025-05-06T04:01,mobile,seo,retarget,A
35,1816,2025-04-03T13:08,mobile,social,none,B
36,2376,2025-01-20T05:43,desktop,sem,none,B
